nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,no,kecamatan,kelurahan
Bakmi Jowo Mas Ndut,"Jl. Dinar Elok Raya No.K2 No.5, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,3.8,5,21.0,Rabu 16.30–00.00  | Kamis 16.30–00.00  | Jumat 16.30–00.00  | Sabtu 16.30–00.00  | Minggu 16.30–00.00  | Senin 16.30–00.00  | Selasa 16.30–00.00,Rp 1–25.000,-7.0603978,110.4691213,,45,Tembalang,Meteseh
Bakmi Jowo Pak Gito,"XFF5+9Q6, Jl. Sambiroto Raya, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.3,5,22.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,Rp 1–25.000,-7.0265843,110.4593769,0812-2527-7968,46,Tembalang,Sambiroto
Bakmi jowo Petruk,"Jl. Fatmawati No.175, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.3,5,11.0,Rabu Buka 24 jam  | Kamis Buka 24 jam  | Jumat Buka 24 jam  | Sabtu Buka 24 jam  | Minggu Buka 24 jam  | Senin Buka 24 jam  | Selasa Buka 24 jam,Rp 1–25.000,-7.023638,110.4683441,0889-3316-417,49,Tembalang,Kedungmundu
Bakmi jowo dan nasi goreng bintang lima,"Depas puskesmas Jl. Kompol R Soekanto, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Nasi Goreng,5.0,5,16.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,Rp 1–25.000,-7.0447647,110.460857,0813-2900-2728,50,Tembalang,Mangunharjo
Bakmi Jowo Bu Hadi,"Jalan Prof. Suharso ,Meteseh, Tembalang, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.0,5,28.0,Rabu 16.30–00.00  | Kamis 16.30–00.00  | Jumat 16.30–00.00  | Sabtu 16.30–00.00  | Minggu 16.30–00.00  | Senin 16.30–00.00  | Selasa 16.30–00.00,Rp 1–25.000,-7.0567136,110.4647068,0812-4248-4643,51,Tembalang,Meteseh
Bakmi Jowo Nasi Goreng KADONG TRESNO,"Jl. Sambiroto Raya No.45A, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,3.1,5,64.0,Rabu 17.00–01.00  | Kamis 17.00–01.00  | Jumat 17.00–01.00  | Sabtu 17.00–01.00  | Minggu 17.00–01.00  | Senin 17.00–01.00  | Selasa 17.00–01.00,Rp 1–25.000,-7.0299685,110.4589556,0821-3525-5678,54,Tembalang,Sambiroto
Bakmi Jowo Risqi,"Jl. Bougenville Dalam No.Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.7,5,7.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0448404,110.4744183,0898-3327-48701,55,Tembalang,Sendangmulyo
Bakmi Jowo Mas Nang,"perum klipang Blk. P XIV, Sendangmulyo, Tembalang, Semarang City, Central Java 50272",Restoran Mie,4.7,5,6.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,Rp 1–25.000,-7.0449503,110.479215,,56,Tembalang,Sendangmulyo
Bakmi jowo pak wito,"Jl. Klipang Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Asia,3.9,5,16.0,Rabu 17.00–01.00  | Kamis 17.00–01.00  | Jumat 17.00–01.00  | Sabtu 17.00–01.00  | Minggu 17.00–01.00  | Senin 17.00–01.00  | Selasa 17.00–01.00,,-7.0377394,110.4766588,0851-0010-6508,58,Tembalang,Sendangmulyo
Bakmi Jowo Mas Jon,"XF2H+RJR, Bundaran Simpang 4 Jl. Klipang, Sendangmulyo, Tembalang, Semarang City, Central Java 50272",Restoran Mie,4.4,5,5.0,Rabu 17.00–23.00  | Kamis 17.00–23.00  | Jumat 17.00–23.00  | Sabtu 17.00–23.00  | Minggu 17.00–23.00  | Senin 17.00–23.00  | Selasa 17.00–23.00,Rp 1–25.000,-7.0478897,110.4790064,,59,Tembalang,Sendangmulyo
Bakmi Nyemek Keluarga,"Perum Jl. Wanamukti No.16 Blok E4, Sambiroto, Tembalang, Semarang City, Central Java 50276",Restoran Mie,4.1,5,9.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–22.00  | Sabtu 10.00–22.00  | Minggu 10.00–22.00  | Senin 10.00–22.00  | Selasa 10.00–22.00,,-7.0307018,110.4614157,0858-7066-7204,60,Tembalang,Sambiroto
