nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,website,kategori
Mizu Ramen,"Jl. Timoho Raya, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,5.0,5,14.0,Rabu 15.00–21.00  | Kamis 15.00–21.00  | Jumat 15.00–21.00  | Sabtu 15.00–21.00  | Minggu 15.00–21.00  | Senin 15.00–21.00  | Selasa 15.00–21.00 ,Rp 1–25.000,-7.0601939,110.4425671,0813-9190-9666,,ramen
Joffi Ramen Durian Raya Semarang,"Ruko Durian. 71, Jl. Durian Raya No.RT 08, RW I, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Ramen,4.7,5,693.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–22.00  | Sabtu 10.00–22.00  | Minggu 10.00–22.00  | Senin 10.00–22.00  | Selasa 10.00–22.00 ,Rp 25.000–50.000,-7.0648377,110.4268563,,,ramen
Joffi Ramen Sambiroto,"Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah",Restoran Ramen,4.8,5,499.0,,Rp 25.000–50.000,-7.0294678,110.4589629,,,ramen
SHOYU JAPANESE FOOD - KLIPANG,"Ruko Klipang Niaga No.3, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Jepang,4.2,5,84.0,Rabu 11.00–21.30  | Kamis 11.00–21.30  | Jumat 11.00–21.30  | Sabtu 11.00–21.30  | Minggu 11.00–21.30  | Senin 11.00–21.00  | Selasa 11.00–21.30 ,Rp 25.000–50.000,-7.0422985,110.4794225,0822-5888-8087,,ramen
Enake Japanese Food Kedungmundu,"Jl. Kedungmundu No.250, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Jepang,4.3,5,533.0,,Rp 25.000–50.000,-7.0226074,110.458246,0857-0469-2150,,ramen
Shojin Ramen & Udon Semarang,"Jl. Wolter Monginsidi No.645, Pedurungan Tengah, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50192",Restoran Ramen,4.4,5,495.0,Rabu 12.00–21.30  | Kamis 12.00–21.30  | Jumat 12.00–21.30  | Sabtu 12.00–21.30  | Minggu 12.00–21.30  | Senin 12.00–21.30  | Selasa 12.00–21.30 ,Rp 25.000–50.000,-7.0021789,110.4712109,0821-2490-8127,,ramen
Pak MOE Katsu dan Mie Ramen,"Jl. Klipang Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,5.0,5,3.0,Rabu 15.30–21.00  | Kamis 15.30–21.00  | Jumat 15.30–21.00  | Sabtu 15.30–21.00  | Minggu Tutup  | Senin 15.30–21.00  | Selasa 15.30–21.00 ,,-7.0376688,110.4791277,0812-2509-7097,,ramen
"Takoyaki Pekoo Pekoo, Unimus","Jl. Fatmawati No.177, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50246",Restoran Jepang,5.0,5,54.0,Rabu 14.30–22.15  | Kamis 14.30–22.15  | Jumat 14.30–22.15  | Sabtu 14.30–22.15  | Minggu 14.30–22.15  | Senin 14.30–22.15  | Selasa 14.30–22.15 ,Rp 25.000–50.000,-7.0236276,110.4683509,0895-2706-0066,,ramen
Nori House,"XF8F+FFR, Jl. Perumahan Ketileng Indah, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,4.8,5,25.0,Rabu 10.30–21.00  | Kamis 10.30–21.00  | Jumat 10.30–21.00  | Sabtu 10.30–21.00  | Minggu 10.30–21.00  | Senin 10.30–21.00  | Selasa 10.30–21.00 ,,-7.033755,110.4736284,,,ramen
Warung Katsu J-pan,"Jl. Banjarsari No.29, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Jepang,4.7,5,21.0,Rabu 10.00–19.30  | Kamis 10.00–19.30  | Jumat 10.00–19.30  | Sabtu 10.00–19.30  | Minggu Tutup  | Senin 10.00–19.30  | Selasa 10.00–19.30 ,Rp 1–25.000,-7.0597621,110.4385803,,,ramen
Shojin Ramen & Udon Kelud Semarang,"Jl. Kelud Raya No.32a, Sampangan, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50327",Restoran Ramen,4.6,5,625.0,Rabu 11.00–21.30  | Kamis 11.00–21.30  | Jumat 11.00–21.30  | Sabtu 11.00–21.30  | Minggu 11.00–21.30  | Senin 11.00–21.30  | Selasa 11.00–21.30 ,Rp 25.000–50.000,-7.0041716,110.3985476,,,ramen
YOHIKI MIE AYAM,"Jl. Mulawarman, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran,5.0,5,85.0,Rabu 11.00–23.00  | Kamis 11.00–23.00  | Jumat 11.00–23.00  | Sabtu 11.00–23.00  | Minggu Tutup  | Senin 11.00–23.00  | Selasa 11.00–23.00 ,Rp 1–25.000,-7.0673631,110.439052,0821-3224-5915,,ramen
Golden Geisha Semarang,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50134",Restoran Ramen,4.8,5,1210.0,Rabu 11.00–15.00 17.00–21.00  | Kamis 11.00–15.00 17.00–21.00  | Jumat 11.00–15.00 17.00–21.00  | Sabtu 11.00–15.00 17.00–21.00  | Minggu 11.00–15.00 17.00–21.00  | Senin 11.00–15.00 17.00–21.00  | Selasa 11.00–15.00 17.00–21.00 ,Rp 50.000–75.000,-6.9863945,110.4219296,,,ramen
Warung Wasabi,"Jalan Tirto Agung No. 77 Pedalangan Tembalang, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Jepang,4.4,5,2756.0,,Rp 25.000–50.000,-7.0602844,110.4275742,0818-240-538,,ramen
Yuyake Ramen Ketileng,"Jl. Ketileng Raya No.15, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Jepang,5.0,5,14.0,,Rp 1–25.000,-7.0285646,110.4680572,0895-1310-0724,,ramen
Ramen Kakek Jepang,"Jl. Tirto Usodo Tim. No.44, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Ramen,3.6,5,32.0,,Rp 1–25.000,-7.0581595,110.4311362,0813-2845-1701,,ramen
KUROGI,"Jl. Ahmad Yani No.167 A lantai 2, Pleburan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50241",Lihat foto,4.7,5,2196.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–22.00  | Sabtu 10.00–22.00  | Minggu 10.00–22.00  | Senin 10.00–22.00  | Selasa 10.00–22.00 ,Rp 75.000–100.000,-6.9928968,110.4279568,0811-2895-157,,ramen
Jojo Ramen,"Jalan Bukit Sari Raya No. R-9, Sumurboto, Banyumanik, Ngesrep, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",Restoran Ramen,4.6,5,5.0,Rabu 09.00–21.00  | Kamis 09.00–21.00  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00 ,,-7.045434,110.4249951,024) 7476900,,ramen
YOHIKI MIE AYAM,"Jl. Mulawarman, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran,5.0,5,85.0,Rabu 11.00–23.00  | Kamis 11.00–23.00  | Jumat 11.00–23.00  | Sabtu 11.00–23.00  | Minggu Tutup  | Senin 11.00–23.00  | Selasa 11.00–23.00 ,Rp 1–25.000,-7.0673631,110.439052,0821-3224-5915,,ramen
kedai raisu tembalang,"perum aldi griya permai Jl. Bulusan Sel. No.27, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Jepang,5.0,5,11.0,Rabu 09.00–21.00  | Kamis Tutup  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00 ,,-7.0638349,110.4475083,0821-3524-8687,,ramen
Nabezo Ramen Dios,"2F93+5FH pujasera) depan Kampus USM, Jl. Malangsari Raya, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196",Restoran Mie,4.5,5,17.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,,-6.9820623,110.4537394,0878-3453-3813,,ramen
Tower Cafe Semarang,"Jl. Banjarsari Selatan No.49B, Tembalang, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Asia,4.4,5,2470.0,Rabu 10.00–23.15  | Kamis 10.00–23.15  | Jumat 10.00–23.15  | Sabtu 10.00–23.15  | Minggu 10.00–23.15  | Senin 10.00–23.15  | Selasa 10.00–23.15 ,Rp 25.000–50.000,-7.0634046,110.4368014,0812-2780-5578,,ramen
RYORI JAPANESE FOOD,"XFM9+7R5, Jl. Pandan Wangi Raya, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran,5.0,5,5.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–17.00  | Sabtu 10.00–22.00  | Minggu 10.00–22.00  | Senin 10.00–22.00  | Selasa 10.00–22.00 ,,-7.0168647,110.4696245,0895-4225-74182,,ramen
Mie Ramen 77,"WCQW+M56, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",,5.0,5,4.0,,,-7.0608455,110.4453768,0877-2603-3667,,ramen
Warung Wasabi,"Jalan Tirto Agung No. 77 Pedalangan Tembalang, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Jepang,4.4,5,2756.0,,Rp 25.000–50.000,-7.0602844,110.4275742,0818-240-538,,ramen
Ramen Kakek Jepang,"Jl. Tirto Usodo Tim. No.44, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Ramen,3.6,5,32.0,,Rp 1–25.000,-7.0581595,110.4311362,0813-2845-1701,,ramen
Yuyake Ramen Ketileng,"Jl. Ketileng Raya No.15, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Jepang,5.0,5,14.0,,Rp 1–25.000,-7.0285646,110.4680572,0895-1310-0724,,ramen
Mie Nges Nges,"Jl. Ngesrep Tim. V No.56A, Tembalang, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50275",Restoran Mie,4.5,5,362.0,,Rp 1–25.000,-7.0510301,110.4244418,0813-1312-8685,,ramen
Jajalo,"XF75+88M, Jl. Kompol R Soekanto, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Jepang,4.5,5,158.0,,Rp 25.000–50.000,-7.0367544,110.4588423,0813-2852-8825,,ramen
Hakeru Ramen And Bento,"Jl. Sriwijaya No.51a, Wonodri, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50242",Restoran Ramen,4.6,5,24.0,,,-7.0045923,110.4274688,0852-9365-5545,,ramen
Hakata Ikkousha Semarang,"Jl. Karang Anyar No.53, Brumbungan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50135",Restoran Mie,5.0,5,2660.0,,Rp 50.000–75.000,-6.9813735,110.4273456,0823-2360-5104,,ramen
Wasabi Sushi & Ramen,"Jl. Mgr Sugiyopranoto No.23, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50245",Restoran Jepang,4.6,5,2414.0,,Rp 25.000–50.000,-6.9828622,110.4062039,0818-240-538,,ramen
