nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,website,kategori
BAKMI JOWO KANG DOEL,"XFH4+HPR, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Mie,4.9,5,16.0,Rabu 15.30–23.30  | Kamis 15.30–23.30  | Jumat 15.30–23.30  | Sabtu 15.30–23.30  | Minggu 15.30–23.30  | Senin 15.30–23.30  | Selasa 15.30–23.30 ,,-7.0210026,110.4567797,0812-2556-0512,,bakmi
"BAKMI SUROBOYO MAS NDUT (YUDI),METESEH","Jl. Raya Sendangmulyo, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.3,5,8.0,Rabu 17.30–23.00  | Kamis 17.30–23.00  | Jumat 17.30–23.00  | Sabtu 17.30–23.00  | Minggu 17.30–23.00  | Senin 17.30–23.00  | Selasa 17.30–23.00 ,,-7.0528544,110.4714665,0878-3106-0032,,bakmi
BAKMIE SURABAYA CAK BAGUS GROUP,"WFVC+7CQ, Jl. Raya Sendangmulyo, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.4,5,13.0,,Rp 1–25.000,-7.0567754,110.4711082,0821-3331-2021,,bakmi
WR Rizqi 99/ Mie Ayam Jakarta 99,"Jl. Mulawarman Sel. II No.18, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran,4.4,5,151.0,Rabu 08.00–22.00  | Kamis 08.00–22.00  | Jumat 08.00–22.00  | Sabtu 08.00–22.00  | Minggu 08.00–22.00  | Senin 08.00–22.00  | Selasa 08.00–22.00 ,Rp 1–25.000,-7.0698262,110.439112,0813-2690-0208,,bakmi
Mie Ayam Happy,"Jl. Kedungmundu No.510A, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.6,5,2580.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu 10.00–21.00  | Senin Tutup  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0234943,110.4588066,0812-2824-444,,bakmi
Mie Ayam Lada Hitam Si Jonti,"Jl. Bukit Elang A, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.5,5,2059.0,Rabu 09.00–20.00  | Kamis 09.00–20.00  | Jumat 09.00–20.00  | Sabtu 09.00–20.00  | Minggu 09.00–20.00  | Senin 09.00–20.00  | Selasa 09.00–20.00 ,Rp 1–25.000,-7.0410728,110.4660527,,,bakmi
Mie Fil Fil & Cuanki Tembalang,"Jl. Timoho Raya No.292, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 20272",Restoran Mie,4.6,5,15.0,,Rp 1–25.000,-7.0605865,110.4440075,0821-3653-0460,,bakmi
(MUBAL) Mie Ayam Bumbu Bali Tembalang,"Jl. Banjarsari Selatan No.18a, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Disimpan,4.2,5,76.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu 10.00–21.00  | Senin 10.00–21.00  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0613894,110.4355547,,,bakmi
Pondok Bakmi Bu Tarno,"XFG5+P9F, Jalan Jl. Kedungmundu, Kedungmundu, Tembalang, Semarang City, Central Java 50273",Kafe,4.4,5,97.0,Rabu 18.00–00.00  | Kamis 18.00–00.00  | Jumat 18.00–00.00  | Sabtu 18.00–00.00  | Minggu 18.00–00.00  | Senin 18.00–00.00  | Selasa 18.00–00.00 ,Rp 1–25.000,-7.023199,110.4584241,,,bakmi
Bakmi Jowo Mas Ndut,"Jl. Dinar Elok Raya No.K2 No.5, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,3.8,5,21.0,Rabu 16.30–00.00  | Kamis 16.30–00.00  | Jumat 16.30–00.00  | Sabtu 16.30–00.00  | Minggu 16.30–00.00  | Senin 16.30–00.00  | Selasa 16.30–00.00 ,Rp 1–25.000,-7.0603978,110.4691213,,,bakmi
Bakmi Jowo Pak Gito,"XFF5+9Q6, Jl. Sambiroto Raya, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.3,5,22.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,Rp 1–25.000,-7.0265843,110.4593769,0812-2527-7968,,bakmi
